d:\Anaconda\Programa\envs\drlnd\lib\site-packages\torch\nn\functional.py:995: UserWarning: nn.functional.tanh is deprecated. Use torch.tanh instead.
  warnings.warn("nn.functional.tanh is deprecated. Use torch.tanh instead.")
Episode 1	Average Score: 0.69
Episode 2	Average Score: 1.10
Episode 3	Average Score: 1.35
Episode 4	Average Score: 1.65
Episode 5	Average Score: 1.92
Episode 6	Average Score: 2.28
Episode 7	Average Score: 2.56
Episode 8	Average Score: 2.74
Episode 9	Average Score: 2.91
Episode 10	Average Score: 3.12
Episode 11	Average Score: 3.44
Episode 12	Average Score: 3.71
Episode 13	Average Score: 3.84
Episode 14	Average Score: 4.01
Episode 15	Average Score: 4.21
Episode 16	Average Score: 4.40
Episode 17	Average Score: 4.63
Episode 18	Average Score: 4.87
Episode 19	Average Score: 5.05
Episode 20	Average Score: 5.22
Episode 21	Average Score: 5.50
Episode 22	Average Score: 5.73
Episode 23	Average Score: 6.03
Episode 24	Average Score: 6.25
Episode 25	Average Score: 6.44
Episode 26	Average Score: 6.57
Episode 27	Average Score: 6.75
Episode 28	Average Score: 6.94
Episode 29	Average Score: 7.11
Episode 30	Average Score: 7.23
Episode 31	Average Score: 7.36
Episode 32	Average Score: 7.49
Episode 33	Average Score: 7.68
Episode 34	Average Score: 7.84
Episode 35	Average Score: 7.97
Episode 36	Average Score: 8.12
Episode 37	Average Score: 8.26
Episode 38	Average Score: 8.37
Episode 39	Average Score: 8.46
Episode 40	Average Score: 8.61
Episode 41	Average Score: 8.76
Episode 42	Average Score: 8.87
Episode 43	Average Score: 9.01
Episode 44	Average Score: 9.13
Episode 45	Average Score: 9.32
Episode 46	Average Score: 9.48
Episode 47	Average Score: 9.65
Episode 48	Average Score: 9.85
Episode 49	Average Score: 9.96
Episode 50	Average Score: 10.11
Episode 51	Average Score: 10.24
Episode 52	Average Score: 10.42
Episode 53	Average Score: 10.57
Episode 54	Average Score: 10.74
Episode 55	Average Score: 10.90
Episode 56	Average Score: 11.06
Episode 57	Average Score: 11.20
Episode 58	Average Score: 11.33
Episode 59	Average Score: 11.45
Episode 60	Average Score: 11.63
Episode 61	Average Score: 11.79
Episode 62	Average Score: 11.90
Episode 63	Average Score: 12.05
Episode 64	Average Score: 12.17
Episode 65	Average Score: 12.30
Episode 66	Average Score: 12.43
Episode 67	Average Score: 12.55
Episode 68	Average Score: 12.63
Episode 69	Average Score: 12.68
Episode 70	Average Score: 12.71
Episode 71	Average Score: 12.71
Episode 72	Average Score: 12.78
Episode 73	Average Score: 12.85
Episode 74	Average Score: 12.91
Episode 75	Average Score: 12.98
Episode 76	Average Score: 13.04
Episode 77	Average Score: 13.16
Episode 78	Average Score: 13.26
Episode 79	Average Score: 13.37
Episode 80	Average Score: 13.51
Episode 81	Average Score: 13.60
Episode 82	Average Score: 13.73
Episode 83	Average Score: 13.83
Episode 84	Average Score: 13.93
Episode 85	Average Score: 14.06
Episode 86	Average Score: 14.14
Episode 87	Average Score: 14.18
Episode 88	Average Score: 14.24
Episode 89	Average Score: 14.34
Episode 90	Average Score: 14.45
Episode 91	Average Score: 14.59
Episode 92	Average Score: 14.71
Episode 93	Average Score: 14.79
Episode 94	Average Score: 14.88
Episode 95	Average Score: 14.97
