Episode 1	Average Score: 0.36
Episode 2	Average Score: 0.93
Episode 3	Average Score: 1.56
Episode 4	Average Score: 2.42
Episode 5	Average Score: 3.54
Episode 6	Average Score: 5.14
Episode 7	Average Score: 6.76
Episode 8	Average Score: 8.02
Episode 9	Average Score: 9.34
Episode 10	Average Score: 10.98
Episode 11	Average Score: 12.37
Episode 12	Average Score: 13.37
Episode 13	Average Score: 14.30
Episode 14	Average Score: 15.16
Episode 15	Average Score: 15.78
Episode 16	Average Score: 16.45
Episode 17	Average Score: 17.07
Episode 18	Average Score: 17.63
Episode 19	Average Score: 18.10
Episode 20	Average Score: 18.61
Episode 21	Average Score: 19.13
Episode 22	Average Score: 19.64
Episode 23	Average Score: 20.05
Episode 24	Average Score: 20.43
Episode 25	Average Score: 20.62
Episode 26	Average Score: 20.89
Episode 27	Average Score: 21.24
Episode 28	Average Score: 21.56
Episode 29	Average Score: 21.83
Episode 30	Average Score: 22.09
Episode 31	Average Score: 22.32
Episode 32	Average Score: 22.50
Episode 33	Average Score: 22.74
Episode 34	Average Score: 22.90
Episode 35	Average Score: 23.06
Episode 36	Average Score: 23.19
Episode 37	Average Score: 23.35
Episode 38	Average Score: 23.52
Episode 39	Average Score: 23.64
Episode 40	Average Score: 23.80
Episode 41	Average Score: 23.93
Episode 42	Average Score: 24.05
Episode 43	Average Score: 24.16
Episode 44	Average Score: 24.25
Episode 45	Average Score: 24.36
Episode 46	Average Score: 24.44
Episode 47	Average Score: 24.49
Episode 48	Average Score: 24.62
Episode 49	Average Score: 24.70
Episode 50	Average Score: 24.83
Episode 51	Average Score: 24.93
Episode 52	Average Score: 25.01
Episode 53	Average Score: 25.02
Episode 54	Average Score: 25.05
Episode 55	Average Score: 25.07
Episode 56	Average Score: 25.12
Episode 57	Average Score: 25.10
Episode 58	Average Score: 25.13
Episode 59	Average Score: 25.08
Episode 60	Average Score: 25.08
Episode 61	Average Score: 25.05
Episode 62	Average Score: 25.00
Episode 63	Average Score: 25.02
Episode 64	Average Score: 25.02
Episode 65	Average Score: 25.06
Episode 66	Average Score: 25.02
Episode 67	Average Score: 25.07
Episode 68	Average Score: 25.05
Episode 69	Average Score: 25.05
Episode 70	Average Score: 25.06
Episode 71	Average Score: 25.05
Episode 72	Average Score: 25.04
Episode 73	Average Score: 25.05
Episode 74	Average Score: 25.02
Episode 75	Average Score: 25.02
Episode 76	Average Score: 25.01
Episode 77	Average Score: 25.01
Episode 78	Average Score: 25.03
Episode 79	Average Score: 25.05
Episode 80	Average Score: 25.01
Episode 81	Average Score: 24.99
Episode 82	Average Score: 24.96
Episode 83	Average Score: 24.94
Episode 84	Average Score: 24.90
Episode 85	Average Score: 24.85
Episode 86	Average Score: 24.85
Episode 87	Average Score: 24.85
Episode 88	Average Score: 24.86
Episode 89	Average Score: 24.89
Episode 90	Average Score: 24.94
Episode 91	Average Score: 25.01
Episode 92	Average Score: 25.05
Episode 93	Average Score: 25.10
Episode 94	Average Score: 25.17
Episode 95	Average Score: 25.23
Episode 96	Average Score: 25.27
Episode 97	Average Score: 25.30
Episode 98	Average Score: 25.35
Episode 99	Average Score: 25.42
Episode 100	Average Score: 25.49
Episode 101	Average Score: 25.83
Episode 102	Average Score: 26.12
Episode 103	Average Score: 26.39
Episode 104	Average Score: 26.62
Episode 105	Average Score: 26.88
Episode 106	Average Score: 27.06
Episode 107	Average Score: 27.22
Episode 108	Average Score: 27.36
Episode 109	Average Score: 27.44
Episode 110	Average Score: 27.50
Episode 111	Average Score: 27.56
Episode 112	Average Score: 27.60
Episode 113	Average Score: 27.67
Episode 114	Average Score: 27.73
Episode 115	Average Score: 27.79
Episode 116	Average Score: 27.83
Episode 117	Average Score: 27.84
Episode 118	Average Score: 27.88
Episode 119	Average Score: 27.91
Episode 120	Average Score: 27.95
Episode 121	Average Score: 27.98
Episode 122	Average Score: 28.01
Episode 123	Average Score: 28.02
Episode 124	Average Score: 28.05
Episode 125	Average Score: 28.13
Episode 126	Average Score: 28.16
Episode 127	Average Score: 28.16
Episode 128	Average Score: 28.17
Episode 129	Average Score: 28.16
Episode 130	Average Score: 28.16
Episode 131	Average Score: 28.15
Episode 132	Average Score: 28.16
Episode 133	Average Score: 28.16
Episode 134	Average Score: 28.16
Episode 135	Average Score: 28.15
Episode 136	Average Score: 28.16
Episode 137	Average Score: 28.16
Episode 138	Average Score: 28.14
Episode 139	Average Score: 28.16
Episode 140	Average Score: 28.13
Episode 141	Average Score: 28.14
Episode 142	Average Score: 28.14
Episode 143	Average Score: 28.19
Episode 144	Average Score: 28.25
Episode 145	Average Score: 28.32
Episode 146	Average Score: 28.40
Episode 147	Average Score: 28.49
Episode 148	Average Score: 28.55
Episode 149	Average Score: 28.63
Episode 150	Average Score: 28.68
Episode 151	Average Score: 28.74
Episode 152	Average Score: 28.77
Episode 153	Average Score: 28.86
Episode 154	Average Score: 28.93
Episode 155	Average Score: 29.04
Episode 156	Average Score: 29.11
Episode 157	Average Score: 29.21
Episode 158	Average Score: 29.29
Episode 159	Average Score: 29.42
Episode 160	Average Score: 29.55
Episode 161	Average Score: 29.68
Episode 162	Average Score: 29.81
Episode 163	Average Score: 29.89
Episode 164	Average Score: 30.01

Environment SOLVED in 64 episodes!	Moving Average =30.0 over last 100 episodes
